^SAMPLE = GSM154769
!Sample_title = Patient B, uninvolved skin
!Sample_geo_accession = GSM154769
!Sample_status = Public on Jan 12 2007
!Sample_submission_date = Jan 11 2007
!Sample_last_update_date = Jan 11 2007
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Human skin biopsy from psoriatic patient (uninvolved skin)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Patient identifyier: B
!Sample_characteristics_ch1 = Sex: male
!Sample_characteristics_ch1 = Age of patient: 34 years
!Sample_characteristics_ch1 = Duration of psoriasis: 15 years
!Sample_characteristics_ch1 = Body surface area: 6 percent
!Sample_characteristics_ch1 = Overall erythema: clear
!Sample_characteristics_ch1 = Induration: clear (classified by the investigators according to the following six grades: clear  -  minimal  -  mild  -  moderate  -  severe  -  very severe)
!Sample_characteristics_ch1 = Scaling: clear (classified by the investigators according to the following six grades: clear  -  minimal  -  mild  -  moderate  -  severe  -  very severe)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Full thickness skin 5 millimeter punch biopsy of uninvolved skin
!Sample_extract_protocol_ch1 = RNA was extracted using the Invisorb RNA Kit II (Invitek, Berlin, Germany) according to the manufacturer's instructions.  As a last step of the extraction procedure, the RNA was purified with the RNeasy Mini-kit (Qiagen, Hilden, Germany).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared from 2 microg total RNA using the BioArray-High-Yield-RNA-Transcript-Labeling-Kit (Enzo, Farmingdale, NY).
!Sample_hyb_protocol = Following fragmentation, 12 microg of cRNA were hybridized to the Affymetrix HG-U133A chip according to the protocols provided by the manufacturer.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = Human skin biposy (uninvolved) from male patient, 34 years old, 15 years of psoriasis, clear erythema, clear induration, clear scaling.
!Sample_data_processing = The data were condensed with MAS 5.0 using the Refiner software from Genedata, Basel,	Switzerland using default settings. The normalization target was set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Rainer,,Ternes
!Sample_contact_institute = Bayer Schering Pharma
!Sample_contact_address = Mullerstrasse
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM154nnn/GSM154769/suppl/GSM154769.CEL.gz
!Sample_series_id = GSE6710
!Sample_data_row_count = 22275
#ID_REF = Affymetrix probe set identifier
#VALUE = MAS5-calculated Signal intensity
#DETECTION P-VALUE = 'detection p-value', p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	289.99075	0.0012475252
AFFX-BioB-M_at	514.52014	9.453297E-5
AFFX-BioB-3_at	301.42593	2.5838614E-4
AFFX-BioC-5_at	1311.2709	7.009506E-5
AFFX-BioC-3_at	760.31866	9.453297E-5
AFFX-BioDn-5_at	1931.3405	5.1677227E-5
AFFX-BioDn-3_at	5085.9395	3.61979E-4
AFFX-CreX-5_at	6225.9883	4.9078465E-4
AFFX-CreX-3_at	8102.706	0.0011088848
AFFX-DapX-5_at	18.453455	0.28658444
AFFX-DapX-M_at	33.511227	0.113664985
AFFX-DapX-3_at	4.831333	0.9219982
AFFX-LysX-5_at	3.436333	0.58861977
AFFX-LysX-M_at	44.53489	0.48510987
AFFX-LysX-3_at	3.881058	0.563941
AFFX-PheX-5_at	6.555475	0.5
AFFX-PheX-M_at	3.235129	0.82467175
AFFX-PheX-3_at	17.341137	0.6729206
AFFX-ThrX-5_at	7.865194	0.8605175
AFFX-ThrX-M_at	53.472603	0.3684377
AFFX-ThrX-3_at	3.654765	0.94578665
AFFX-TrpnX-5_at	6.288692	0.6413911
AFFX-TrpnX-M_at	4.499487	0.98481745
AFFX-TrpnX-3_at	3.4402883	0.63156235
AFFX-HUMISGF3A/M97935_5_at	87.98306	0.026111007
AFFX-HUMISGF3A/M97935_MA_at	414.46225	0.018280625
AFFX-HUMISGF3A/M97935_MB_at	404.42828	1.4656782E-4
AFFX-HUMISGF3A/M97935_3_at	1040.1704	2.246499E-4
AFFX-HUMRGE/M10098_5_at	394.81244	0.0015925765
AFFX-HUMRGE/M10098_M_at	203.20685	0.0035945773
AFFX-HUMRGE/M10098_3_at	370.98022	0.021901846
AFFX-HUMGAPDH/M33197_5_at	7364.249	0.0011088848
AFFX-HUMGAPDH/M33197_M_at	6805.9146	0.0014648438
AFFX-HUMGAPDH/M33197_3_at	10066.705	9.765625E-4
AFFX-HSAC07/X00351_5_at	6790.8535	2.4414062E-4
AFFX-HSAC07/X00351_M_at	10054.433	0.0078125
AFFX-HSAC07/X00351_3_at	9276.634	9.765625E-4
AFFX-M27830_5_at	554.51184	9.453297E-5
AFFX-M27830_M_at	1143.3062	0.054213345
AFFX-M27830_3_at	61.817802	0.63156235
AFFX-hum_alu_at	11347.578	2.9802322E-5
AFFX-r2-Ec-bioB-5_at	343.87335	2.4414062E-4
AFFX-r2-Ec-bioB-M_at	567.36	2.4414062E-4
AFFX-r2-Ec-bioB-3_at	364.04272	2.4414062E-4
AFFX-r2-Ec-bioC-5_at	1485.6533	2.4414062E-4
AFFX-r2-Ec-bioC-3_at	1778.3706	2.4414062E-4
AFFX-r2-Ec-bioD-5_at	5294.566	2.4414062E-4
AFFX-r2-Ec-bioD-3_at	5546.4937	2.4414062E-4
AFFX-r2-P1-cre-5_at	8617.499	0.015625
AFFX-r2-P1-cre-3_at	10137.515	0.03125
